youtube_id,channel,title,publishedAt,description,url
h-vbysp1Tso,Компьютерные науки,"Canary deployment, мониторинг и тестирование моделей силами одного специалиста – Александр Дмитриев",2018-10-31T15:45:37.000Z,"PyData Moscow, 13 октября 2018

В докладе на примере рекомендательного сервиса Александр  показывает, как поднять инфраструктуру для приятной работы с моделями в продакшене. ""Больше никаких волнений перед выкаткой новой версии модели и просмотров Графаны за утренним кофе. Для этого не нужен DevOps, много времени и огромная команда.""

Александр Дмитриев
Занимался встраиваемой электроникой, писал для микроконтроллеров и микропроцессоров. Работал с большими данными в сталепрокатной компании. Сейчас — Data Scientist в компании MyBook.

Скачать слайды: https://yadi.sk/i/b0bZf3vhovpDMw
Все материалы PyData Moscow - https://events.yandex.ru/events/ds/13-october-2018/",https://www.youtube.com/watch?v=h-vbysp1Tso
N7R3hmvguyE,Компьютерные науки,088. Как построить собственную систему аналитики за один день – Александр Швец,2018-10-31T15:47:26.000Z,"PyData Moscow, 13 октября 2018

- Что должно входить в систему аналитики и зачем нужна своя.
- Какие есть решения и как их кастомизировать.
- Использование Python для получения, обработки и обогащения данных на примере сервисов Rockstat.
- Средства визуализации и другие плюшки.
- Ура, готово! Что делать на следующий день?


Александр Швец
Директор по продукту в Marilyn — компании-разработчике крупнейшей системы автоматизации интернет-рекламы, которая совершенствует работу с Яндекс.Директом, Яндекс.Маркетом, Яндекс.Дисплеем, AdFox и другими рекламными площадками. Постоянный участник отраслевых конференций, организатор митапов MoscowDigital, посвященных проблемам цифровой рекламы. Получил степень магистра техники и технологии на факультете информатики и систем управления МГТУ им. Баумана.

Скачать слайды: https://yadi.sk/i/gkWyDdL22Js2ng
Другие материалы PyData Moscow - https://events.yandex.ru/events/ds/13-october-2018/",https://www.youtube.com/watch?v=N7R3hmvguyE
EIvdPxBYSGY,Компьютерные науки,006. Методы анализа электроэнцефалограмм и магнитоэнцефалограмм — Алексей Осадчий,2016-12-19T13:22:29.000Z,,https://www.youtube.com/watch?v=EIvdPxBYSGY
fghcOhTo3JE,Компьютерные науки,011. Исследование связности в мозге на основе электрофизиологических данных — Илья Захаров,2016-09-27T13:16:40.000Z,,https://www.youtube.com/watch?v=fghcOhTo3JE
K1zNA_rneKY,Компьютерные науки,007. An Improved Query Time for Succinct Dynamic Dictionary Matching - Ariel Shiftan,2014-10-31T14:42:57.000Z,,https://www.youtube.com/watch?v=K1zNA_rneKY
Qy2mTjHctSY,Компьютерные науки,Yandex+CERN: 3 Years of Data Science and Particle Physics Collaboration - Dr. Andrey Ustyuzhanin,2015-10-23T10:40:21.000Z,"Yandex School of Data Analysis Conference
Machine Learning: Prospects and Applications

https://yandexdataschool.com/conference

In this talk I’ll tell three stories characterizing the development of the collaboration
between Yandex and CERN, from its start at the beginning of
2012 until the present day. Big data, algorithms and passion for discoveries
are the aspects that are deeply rooted inside CERN and Yandex DNA.
Still, from data analysis perspectives, approaches at CERN and Yandex
are quite different. These differences allow for improvements and new
technological projects to emerge. I’ll outline those projects as well as the
roadmap for the next steps of our collaboration.",https://www.youtube.com/watch?v=Qy2mTjHctSY
3V9t0rXBIic,Компьютерные науки,05. Learning to make reward-guided decisions. Hiroyuki Nakahara,2017-08-14T13:18:37.000Z,"Deep Learning: Theory, Algorithms, and Applications. Berlin, June 2017 

The workshop aims at bringing together leading scientists in deep learning and related areas within machine learning, artificial intelligence, mathematics, statistics, and neuroscience. No formal submission is required. Participants are invited to present their recently published work as well as work in progress, and to share their vision and perspectives for the field. 

http://doc.ml.tu-berlin.de/dlworkshop2017/",https://www.youtube.com/watch?v=3V9t0rXBIic
pVFX3V0Q2Rg,Компьютерные науки,015. What's Behind BLAST - Gene Myers,2014-11-05T16:38:21.000Z,,https://www.youtube.com/watch?v=pVFX3V0Q2Rg
f4SUx8Ol9Fo,Компьютерные науки,022. Efficient Algorithms for Shortest Partial Seeds in Words - Tomasz Kociumaka,2014-11-05T16:43:12.000Z,,https://www.youtube.com/watch?v=f4SUx8Ol9Fo
aK0Tedo_X4o,Компьютерные науки,007. Нелинейная регрессия - К.В. Воронцов,2014-12-22T14:27:27.000Z,"Курс ""Машинное обучение"" является одним из основных курсов Школы, поэтому он является обязательным для всех студентов ШАД.

Лектор: Константин Вячеславович Воронцов, старший научный сотрудник Вычислительного центра РАН. Заместитель директора по науке ЗАО ""Форексис"". Заместитель заведующего кафедрой «Интеллектуальные системы» ФУПМ МФТИ. Доцент кафедры ""Математические методы прогнозирования"" ВМиК МГУ. Эксперт компании ""Яндекс"". Доктор физико-математических наук.

Программу курса можно посмотреть по ссылке: http://shad.yandex.ru/program/machine_learning.xml",https://www.youtube.com/watch?v=aK0Tedo_X4o
4jXTdvH3PFQ,Компьютерные науки,013. Sequence Comparison in the Time of Deluge - Alberto Apostolico,2014-11-05T15:52:41.000Z,,https://www.youtube.com/watch?v=4jXTdvH3PFQ
nUuv7fa7EFw,Компьютерные науки,006. Extremal set theory  — Péter Frankl,2017-09-26T17:03:18.000Z,,https://www.youtube.com/watch?v=nUuv7fa7EFw
O5MxQ00VVYs,Компьютерные науки,066. «Многорукие бандиты» в рекомендациях – Михаил Каменщиков,2018-07-03T15:19:56.000Z,"«Многорукие бандиты» — это метод тестирования гипотез, который, в отличие от AB-тестирования, позволяет автоматически оптимизировать выигрыш сразу после начала эксперимента. 

В докладе Михаил рассказывает о том, как команда Авито применяет бандитов для различных задач и как они помогают  улучшать качество рекомендаций похожих объявлений на карточке товара. 

Скачать презентацию: https://yadi.sk/i/Y-Lphm0g3YivSu

В «Авито» Михаил занимается data science и разработкой микросервисов в команде, отвечающей за рекомендации. На базе рекомендаций «Авито» готовит задания для соревнований специалистов в области data science.",https://www.youtube.com/watch?v=O5MxQ00VVYs
CGpm1ve6VAM,Компьютерные науки,Запись трансляции конференции Data Fest. Основной поток,2016-09-10T21:21:15.000Z,"Смотрите трансляцию событий Прикладного потока конференции тут: https://www.youtube.com/watch?v=QVSKmbrL08A
Полная программа Data Fest: https://events.yandex.ru/events/ds/10-11-sept-2016/",https://www.youtube.com/watch?v=CGpm1ve6VAM
DazqqLqeeAg,Компьютерные науки,Запись трансляции конференции Data & Science: космос,2016-12-17T14:56:06.000Z,"Data & Science — серия конференций, на которых ведущие учёные и эксперты рассказывают о применении больших данных в фундаментальной и прикладной науке.
Предмет четвёртой конференции — космос. Сегодня науки о вселенной оперируют петабайтами данных, поэтому без совершенных инструментов анализа не обойтись.
Лекторы покажут огромные космические телескопы — зоркие глаза человечества, вглядывающиеся в космос. Опишут перспективы исследований экзопланет, гравитационных волн и чёрных дыр, расскажут о «тумане» Млечного Пути и о квазарах в далёких-далёких галактиках.
Программа по ссылке: https://events.yandex.ru/events/ds/17-dec-2016/",https://www.youtube.com/watch?v=DazqqLqeeAg
RgydqzdFHm0,Компьютерные науки,011. Proof of the Pósa−Seymour Conjecture - Endre Szemerédi,2014-11-17T14:23:47.000Z,"In 1974 Paul Seymour conjectured that any graph G of order n and minimum degree at least (k−1)/k · n contains the (k − 1)th power of a Hamiltonian cycle. This conjecture was proved with the help of the Regularity Lemma – Blow-up Lemma method for n ≥ n0 where n0 is very large. Here we present another proof that avoids the use of the Regularity Lemma and thus the resulting n0 is much smaller. The main ingredient is a new kind of connecting lemma.

Joint work with Asif Jamshed.",https://www.youtube.com/watch?v=RgydqzdFHm0
lDWaUGoLfiU,Компьютерные науки,Deep Neural Networks for Fast Object Detection - Anton Slesarev,2015-10-23T10:53:42.000Z,"Yandex School of Data Analysis Conference
Machine Learning: Prospects and Applications

https://yandexdataschool.com/conference

Deep learning boosts the quality of almost all computer vision solutions.
In particular, deep learning achieves excellent performance in object detection
tasks, such as pedestrian detection and traffic sign recognition.

In my talk, we will discuss how a fast and robust object detector can be
built using only deep learning, without any external proposal generator.
Previously, it was reported that spurious false positives can occur when
neural net are densely applied in the sliding window manner. We will
discuss how a cascade of neural nets and hard negatives sampling for
learning can be used to reduce the number of false positives.",https://www.youtube.com/watch?v=lDWaUGoLfiU
-WWAcltTlRw,Компьютерные науки,001. Основы перечислительной комбинаторики - А.М.Райгородский,2014-11-11T15:15:10.000Z,"курс: ""Дискретный анализ и теория вероятностей""",https://www.youtube.com/watch?v=-WWAcltTlRw
p8CMXUZWZ80,Компьютерные науки,093. Опыт Thomson Reuters  основные кейсы и успешные запуски – Илона Головкина,2018-11-29T10:45:30.000Z,"В докладе речь идет об опыте крупной IT-корпорации, создающей программные решения для юристов и их коллег. 
В рамках мероприятия «Data&Science: закон и делопроизводство» Илона Головкина рассказала, как компании не только оптимизировали таким образом своё делопроизводство, но и увеличили прибыль, а также привлекли новых клиентов благодаря вариативности использования решений компании.

Илона Головкина
Окончила Всероссийскую академию внешней торговли. Работала в области правового сопровождения внешнеэкономической деятельности в России и за рубежом. В Thomson Reuters развивает направление профессиональных решений для юристов.

Скачать слайды: https://yadi.sk/i/ZOb1qYzKt32mcA
Страница мероприятия: https://events.yandex.ru/events/ds/17-november-2018/",https://www.youtube.com/watch?v=p8CMXUZWZ80
7GVnkCKyFxA,Компьютерные науки,038. Аренда облачных мощностей для начинающих — Петр Ермаков,2016-10-07T09:33:04.000Z,,https://www.youtube.com/watch?v=7GVnkCKyFxA
c-2mXUWEfiw,Компьютерные науки,006. Геномика адаптивного иммунитета как подход к индивидуальной диагностике - Дмитрий Чудаков,2014-11-19T11:05:19.000Z,"Использование технологий секвенирования нового поколения (NGS) открывает возможности для создания принципиально новых методов исследования и разработки диагностических тест-систем, позволяющих одновременно анализировать последовательности миллионов фрагментов РНК/ДНК в одном образце. В области иммунологии эти технологии позволяют проводить глубокий анализ индивидуальных «иммуномов» — репертуаров Т-клеточных рецепторов и антител, разнообразие и специфичности которых составляют основу адаптивного иммунитета. Таким образом, можно получать исчерпывающую информацию о клональных популяциях и текущем разнообразии лимфоцитов и субпопуляций лимфоцитов пациента.

Развитие подобных технологий анализа индивидуального «иммунома» и связанных с ними баз данных является ключом к созданию: - диагностики широкого спектра заболеваний; - мониторинга эффективности и последствий проводимой терапии, затрагивающей иммунную систему, а также последствий облучения ионизирующей радиацией; - новых типов безопасной и эффективной индивидуальной терапии ряда заболеваний.

В ближайшем будущем технологии NGS также должны стать основой для экономичного, быстрого, глубокого типирования генов HLA человека, обуславливающих совместимость тканей и органов в трансплантологии, и, в первую очередь, при трансплантации гемопоэтических клеток крови.

Эти технологии позволят: - кардинальным образом изменить возможности для формирования баз данных потенциальных доноров клеток костного мозга и пуповинной крови; - снизить затраты на поиск и повысить качество подбора доноров клеток костного мозга; - ускорить исследования в области взаимосвязи HLA генотипа и репертуара Т-клеточных рецепторов, мишенями распознавания которых служит комплекс HLA-пептид.

По большому счету, развитие молекулярных и биоинформатических методов массированного сравнительного анализа «иммуномов» ведет к принципиально новому уровню понимания адаптивного иммунитета и нашей способности к его направленной рациональной коррекции.",https://www.youtube.com/watch?v=c-2mXUWEfiw
dxn9pdA75Wc,Компьютерные науки,Запись трансляции Data&Sсience: отвечают знатоки | 15.12.2018,2018-12-15T18:13:10.000Z,"15 декабря в офисе Яндекса прошла предновогодняя интеллектуальная игра, в которой 13 команд по 6 человек  отвечали на вопросы, связанные с data science. На обсуждение каждого вопроса была дана минута.

Зрители онлайн-трансляции также присоединились к игре. Каждый, кто первым правильно ответил на вопрос в чате, получил сувенир от Яндекса. 



Программа:
17.00-18.00 Первый тур, 12 вопросов
18.00-18.30 Перерыв
18.30-19.30 Второй тур, 12 вопросов + 3 вопроса из онлайн чата.
Страница мероприятия на сайте: https://events.yandex.ru/events/ds/15-dec-2018/",https://www.youtube.com/watch?v=dxn9pdA75Wc
Yh6_6FG4Q-w,Компьютерные науки,020. Searching of Gapped Repeats and Subrepetitions in a Word - Roman Kolpakov,2014-11-05T16:43:01.000Z,,https://www.youtube.com/watch?v=Yh6_6FG4Q-w
0_brTY6QgsA,Компьютерные науки,005. Кучи (начало). Хэширование (начало) - М. А. Бабенко,2014-11-13T09:32:45.000Z,Курс «Алгоритмы и структуры данных поиска»,https://www.youtube.com/watch?v=0_brTY6QgsA
eEf-T4SgJ0E,Компьютерные науки,006. Reversal Distances for Strings with Few Blocks or Small Alphabets - Laurent Bulteau,2014-10-31T14:19:27.000Z,,https://www.youtube.com/watch?v=eEf-T4SgJ0E
FpZqmnOB-R8,Компьютерные науки,"004. Поиск похожих изображений при помощи нейросетей - Виктор Лемпицкий, Артем Бабенко",2014-11-18T16:21:52.000Z,"За последние три года глубокие (или многослойные) свёрточные нейросети кардинально изменили компьютерное зрение. Системы распознавания образов, построенные на их основе, решают некоторые задачи с такой же точностью, что и человек. Мы расскажем о причинах успеха свёрточных нейросетей в компьютерном зрении, об их применении для поиска похожих изображений — например, фотографий одного и того же здания — и других разработках Яндекса и Сколтеха.",https://www.youtube.com/watch?v=FpZqmnOB-R8
Fbzk1bqAPjU,Компьютерные науки,033. Как наука о данных помогает развитию медицины — Михаил Пайсон,2017-04-25T11:06:58.000Z,"Технический директор Яндекс.Здоровья рассказывает об основных путях развития современной медицины и о технологических проблемах, которые сейчас перед ней стоят.
Все материалы: https://events.yandex.ru/events/ds/15-apr-2017/.",https://www.youtube.com/watch?v=Fbzk1bqAPjU
R1zuAeGf75g,Компьютерные науки,033. Apache Zeppelin: интерактивный анализ больших данных — Наталья Притыковская,2016-10-07T09:31:56.000Z,,https://www.youtube.com/watch?v=R1zuAeGf75g
L6l95Mj-WTg,Компьютерные науки,032. ML Pipelines Spark 2 0 vs Scikit Learn — Дмитрий Бабаев,2016-10-07T09:31:46.000Z,,https://www.youtube.com/watch?v=L6l95Mj-WTg
JSO8RfmRZD4,Компьютерные науки,027. Машинное обучение в киберспорте. Dota Science — Кирилл Неклюдов,2016-10-07T09:30:53.000Z,,https://www.youtube.com/watch?v=JSO8RfmRZD4
QVSKmbrL08A,Компьютерные науки,Запись трансляции конференции Data Fest. Прикладной поток,2016-09-10T22:08:12.000Z,"Смотрите трансляцию докладов Основного потока конференции тут: https://www.youtube.com/watch?v=CGpm1ve6VAM
Полная программа Data Fest: https://events.yandex.ru/events/ds/10-11-sept-2016/",https://www.youtube.com/watch?v=QVSKmbrL08A
oO1vNaVX9_M,Компьютерные науки,Запись трансляции: Тренировка по Машинному обучению 9 июля 2016,2016-07-09T12:01:55.000Z,"Победители и активные участники соревнований по анализу данных встречаются на тренировках с целью познакомиться, обменяться опытом, рассказать про свои успехи в решении задач.

В этот раз:
Сергей Шилин, Алексей Найденов — Kaggle Draper Satellite Image Chronology, команда FirstTimeWithImages, 8-е место

Василий Лексин — ACM RecSys Challenge 2016, команда Avito, 7-е место

Михаил Першин — Kaggle Facebook V: Predicting Check Ins 

Календарь соревнований + материалы с предыдущих тренировок: http://mltrainings.ru/
Группа тренировок в FB: https://www.facebook.com/groups/1413405125598651/ 
Канал тренировок в YouTube: https://www.youtube.com/channel/UCeq6ZIlvC9SVsfhfKnSvM9w",https://www.youtube.com/watch?v=oO1vNaVX9_M
h6eQrkkU9SA,Компьютерные науки,17. Self-normalizing Neural Networks and a Two Time-Scale Update Rule for GANs. Sepp Hochreiter,2017-08-03T10:25:09.000Z,"Deep Learning: Theory, Algorithms, and Applications. Berlin, June 2017 

The workshop aims at bringing together leading scientists in deep learning and related areas within machine learning, artificial intelligence, mathematics, statistics, and neuroscience. No formal submission is required. Participants are invited to present their recently published work as well as work in progress, and to share their vision and perspectives for the field. 

http://doc.ml.tu-berlin.de/dlworkshop2017/",https://www.youtube.com/watch?v=h6eQrkkU9SA
vMf3GvXMEkU,Компьютерные науки,003. Параллельные вычисления - О. В.  Сухорослов,2014-11-13T12:45:05.000Z,Курс «Параллельные и распределенные вычисления»,https://www.youtube.com/watch?v=vMf3GvXMEkU
Dw2OhqvB0cE,Компьютерные науки,003. Making the Web searchable - Peter Mika,2014-11-21T12:51:47.000Z,"The key idea of the Semantic Web is to make information on the Web easily consumable by machines. As machines start to understand web pages as sources of data that can be easily combined with other public data on the Web, the promise is that search on the Web will move well beyond the current paradigm of retrieving pages by keywords. Instead, search engines will start to answer complex queries based on the cumulative knowledge of the Web. In this presentation, we overviewed the basic set of technologies that can be used to annotate web pages so that they can be processed by data-aware search engines. In particular, we discussed the RDFa and microdata standards of the W3C designed for marking up data in HTML pages. We looked at the ways in which this information is currently used by search engines, including the latest schema.org collaboration between Bing, Google, Yahoo! and Yandex, which provides a basic set of vocabulary items understood by all four major search engines on the Web.",https://www.youtube.com/watch?v=Dw2OhqvB0cE
3wZm4SjMBQM,Компьютерные науки,001. Asymptotic behaviour of ranking algorithms in directed random networks - Nelly Litvak,2014-11-17T11:54:12.000Z,"There is a vast empirical research on the behaviour of ranking algorithms, e.g. Google PageRank, in scale-free networks. In this talk, we address this problem by analytical probabilistic methods. In particular, it is well-known that the PageRank in scale-free networks follows a power law with the same exponent as in-degree. Recent probabilistic analysis has provided an explanation for this phenomenon by obtaining a natural approximation for PageRank based on stochastic fixed-point equations. For these equations, explicit solutions can be constructed on weighted branching trees, and their tail behavior can be described in great detail.

In this talk we present a model for generating directed random graphs with prescribed degree distributions where we can prove that the PageRank of a randomly chosen node does indeed converge to the solution of the corresponding fixed-point equation as the number of nodes in the graph grows to infinity. The proof of this result is based on classical random graph coupling techniques combined with the now extensive literature on the behavior of branching recursions on trees.",https://www.youtube.com/watch?v=3wZm4SjMBQM
JEf3QPiuXYk,Компьютерные науки,008. Графы предпочтительного присоединения с устареванием – Л.А. Прохоренкова,2015-04-10T12:09:19.000Z,,https://www.youtube.com/watch?v=JEf3QPiuXYk
e0VyfXrTIxQ,Компьютерные науки,Смешанные регрессионные модели в R — Иван Иванчей,2017-05-04T08:48:22.000Z,"Классические методы статистического вывода часто требуют сбалансированных по условиям независимых наблюдений. Однако на практике мы постоянно сталкиваемся с разного рода зависимостями в данных: повторными измерениями, кластеризацией наблюдений, несбалансированностью сравниваемых условий. Это может привести к ненадёжным выводам. Один из самых эффективных способов борьбы с такими неприятностями — регрессионные модели, учитывающие отдельно главные и случайные эффекты. Иван Иванчей об одной из самых удачных реализаций этого метода — пакете lme4 для R.
Все материалы встречи: https://events.yandex.ru/events/ds/27-apr-2017/.",https://www.youtube.com/watch?v=e0VyfXrTIxQ
